cpf,nome,situacaoCadastral.codigo,situacaoCadastral.valor,paisResidencia.residenteExterior,paisResidencia.codigoPais,nomeMae,dataNascimento,sexo.codigo,sexo.valor,ocupacao.naturezaOcupacaoCodigo,ocupacao.ocupacaoPrincipalCodigo,ocupacao.ocupacaoPrincipalDescricao,ocupacao.exercicioOcupacao,endereco.logradouro,endereco.numero,endereco.cep,endereco.bairro,endereco.codigoMunicipio,endereco.nomeMunicipio,endereco.uf,telefone.ddd,telefone.numero,unidadeAdministrativaCodigo,anoObito,estrangeiro,tituloEleitor,dataAtualizacao,dataRegistroAnatel,resultado,erro
31888916877,Tuwpoxtzyzzruazdjdsqmaewylowhy,2,Suspensa,True,0,Sjflu Ifgemqkhdjvpgcjewylowhy,1937-10-25,1,Masculino,36,320,Técnico em biologia,9236,Viy Emmkgotopwc Yyoamytp,598,37377234,Qqukpfkgfti,2931350,Lkgwrl,SP,0025,31297214,1008514,0,False,0000000000000,1962-02-17,2022-08-16,CPF encontrado,
33725600864,Tow Dh Vrmadfgixfxaxqupjkfp,8,Nula,True,0,Bvgoxicrewhewdrt,1917-06-28,2,Feminino,5,966,,2736,Jgp Vjfrvmytkvnnqskehmrg,098,93700734,Pahcjbobur,3519600,Hobkpc,RO,0025,97620714,7431014,0,False,0000000000000,1964-12-23,2022-08-16,CPF encontrado,
31888916877,Tuwpoxtzyzzruazdjdsqmaewylowhy,2,Suspensa,True,0,Sjflu Ifgemqkhdjvpgcjewylowhy,1937-10-25,1,Masculino,36,320,Técnico em biologia,9236,Viy Emmkgotopwc Yyoamytp,598,37377234,Qqukpfkgfti,2931350,Lkgwrl,SP,0025,31297214,1008514,0,False,0000000000000,1962-02-17,2022-08-16,CPF encontrado,
33725600864,Tow Dh Vrmadfgixfxaxqupjkfp,8,Nula,True,0,Bvgoxicrewhewdrt,1917-06-28,2,Feminino,5,966,,2736,Jgp Vjfrvmytkvnnqskehmrg,098,93700734,Pahcjbobur,3519600,Hobkpc,RO,0025,97620714,7431014,0,False,0000000000000,1964-12-23,2022-08-16,CPF encontrado,
31888916877,Tuwpoxtzyzzruazdjdsqmaewylowhy,2,Suspensa,True,0,Sjflu Ifgemqkhdjvpgcjewylowhy,1937-10-25,1,Masculino,36,320,Técnico em biologia,9236,Viy Emmkgotopwc Yyoamytp,598,37377234,Qqukpfkgfti,2931350,Lkgwrl,SP,0025,31297214,1008514,0,False,0000000000000,1962-02-17,2022-08-16,CPF encontrado,
33725600864,Tow Dh Vrmadfgixfxaxqupjkfp,8,Nula,True,0,Bvgoxicrewhewdrt,1917-06-28,2,Feminino,5,966,,2736,Jgp Vjfrvmytkvnnqskehmrg,098,93700734,Pahcjbobur,3519600,Hobkpc,RO,0025,97620714,7431014,0,False,0000000000000,1964-12-23,2022-08-16,CPF encontrado,
31888916877,Tuwpoxtzyzzruazdjdsqmaewylowhy,2,Suspensa,True,0,Sjflu Ifgemqkhdjvpgcjewylowhy,1937-10-25,1,Masculino,36,320,Técnico em biologia,9236,Viy Emmkgotopwc Yyoamytp,598,37377234,Qqukpfkgfti,2931350,Lkgwrl,SP,0025,31297214,1008514,0,False,0000000000000,1962-02-17,2022-08-16,CPF encontrado,
33725600864,Tow Dh Vrmadfgixfxaxqupjkfp,8,Nula,True,0,Bvgoxicrewhewdrt,1917-06-28,2,Feminino,5,966,,2736,Jgp Vjfrvmytkvnnqskehmrg,098,93700734,Pahcjbobur,3519600,Hobkpc,RO,0025,97620714,7431014,0,False,0000000000000,1964-12-23,2022-08-16,CPF encontrado,
31888916877,Tuwpoxtzyzzruazdjdsqmaewylowhy,2,Suspensa,True,0,Sjflu Ifgemqkhdjvpgcjewylowhy,1937-10-25,1,Masculino,36,320,Técnico em biologia,9236,Viy Emmkgotopwc Yyoamytp,598,37377234,Qqukpfkgfti,2931350,Lkgwrl,SP,0025,31297214,1008514,0,False,0000000000000,1962-02-17,2022-08-16,CPF encontrado,
33725600864,Tow Dh Vrmadfgixfxaxqupjkfp,8,Nula,True,0,Bvgoxicrewhewdrt,1917-06-28,2,Feminino,5,966,,2736,Jgp Vjfrvmytkvnnqskehmrg,098,93700734,Pahcjbobur,3519600,Hobkpc,RO,0025,97620714,7431014,0,False,0000000000000,1964-12-23,2022-08-16,CPF encontrado,
